Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850,-0.42677823,-0.59983104,-0.2537254
1851,-0.2584868,-0.43271616,-0.08425744
1852,-0.22438325,-0.38888666,-0.05987985
1853,-0.26434156,-0.4233622,-0.10532092
1854,-0.2957587,-0.4337182,-0.15779917
1855,-0.29413986,-0.42957428,-0.15870544
1856,-0.3320599,-0.47629327,-0.18782654
1857,-0.48337895,-0.6351754,-0.33158255
1858,-0.40853727,-0.5574656,-0.25960892
1859,-0.29634765,-0.4388079,-0.15388738
1860,-0.41239318,-0.5634735,-0.26131284
1861,-0.46778804,-0.6383392,-0.2972369
1862,-0.5579294,-0.7269542,-0.3889045
1863,-0.38485137,-0.57993144,-0.18977135
1864,-0.49633864,-0.68335164,-0.30932567
1865,-0.39476156,-0.59418476,-0.19533835
1866,-0.40267918,-0.5988983,-0.2064601
1867,-0.3997039,-0.6016528,-0.197755
1868,-0.36279932,-0.5462383,-0.17936029
1869,-0.31984556,-0.48150712,-0.158184
1870,-0.33017874,-0.47746363,-0.18289383
1871,-0.37644255,-0.52659845,-0.22628663
1872,-0.31141362,-0.44777754,-0.17504966
1873,-0.32273218,-0.45298532,-0.19247901
1874,-0.3672589,-0.4993201,-0.23519772
1875,-0.3676781,-0.50450724,-0.23084901
1876,-0.41274178,-0.55182153,-0.27366203
1877,-0.08399866,-0.21196997,0.04397265
1878,0.008122982,-0.11510986,0.13135582
1879,-0.29199952,-0.42382544,-0.1601736
1880,-0.30511785,-0.42771044,-0.18252523
1881,-0.2134056,-0.33837453,-0.08843666
1882,-0.27305424,-0.3981293,-0.14797916
1883,-0.32937044,-0.44111887,-0.21762201
1884,-0.4758977,-0.58487314,-0.36692226
1885,-0.45889536,-0.5682634,-0.3495273
1886,-0.4097087,-0.51427835,-0.30513903
1887,-0.49024183,-0.6050126,-0.3754711
1888,-0.3752777,-0.4925889,-0.25796652
1889,-0.2535244,-0.37701792,-0.13003084
1890,-0.50262856,-0.62725693,-0.3780002
1891,-0.39836615,-0.53493917,-0.2617931
1892,-0.508189,-0.64627314,-0.37010494
1893,-0.49558127,-0.6307157,-0.3604468
1894,-0.47842535,-0.6219187,-0.33493203
1895,-0.4412435,-0.58054245,-0.30194458
1896,-0.27847162,-0.4104978,-0.14644544
1897,-0.25405174,-0.39219558,-0.11590794
1898,-0.4736574,-0.6090626,-0.3382522
1899,-0.34338933,-0.47374436,-0.2130343
1900,-0.23016867,-0.36374077,-0.096596554
1901,-0.28737187,-0.41983604,-0.15490767
1902,-0.4374087,-0.5692705,-0.30554685
1903,-0.53520566,-0.6579919,-0.41241944
1904,-0.59735966,-0.7246186,-0.4701007
1905,-0.4061953,-0.5250277,-0.28736293
1906,-0.31545135,-0.43693224,-0.19397046
1907,-0.5002757,-0.6190489,-0.38150245
1908,-0.5075676,-0.62595916,-0.38917598
1909,-0.53415567,-0.64571893,-0.42259237
1910,-0.52352375,-0.6367812,-0.4102663
1911,-0.541595,-0.65118945,-0.4320005
1912,-0.4777316,-0.5785329,-0.37693027
1913,-0.46532857,-0.5737932,-0.356864
1914,-0.26142594,-0.36882973,-0.15402217
1915,-0.19240999,-0.3095318,-0.07528818
1916,-0.42220375,-0.54228234,-0.3021251
1917,-0.546182,-0.6754985,-0.4168654
1918,-0.42842597,-0.56700045,-0.2898515
1919,-0.33468935,-0.47180054,-0.19757813
1920,-0.30682415,-0.4365461,-0.17710221
1921,-0.24368393,-0.3612764,-0.1260915
1922,-0.34041896,-0.4483485,-0.23248945
1923,-0.31679776,-0.42244843,-0.2111471
1924,-0.31083843,-0.41656935,-0.20510751
1925,-0.28117573,-0.38841537,-0.17393611
1926,-0.12224448,-0.23129097,-0.013197992
1927,-0.22812024,-0.3311024,-0.12513807
1928,-0.21076217,-0.32017654,-0.101347804
1929,-0.3925594,-0.49989954,-0.28521928
1930,-0.17169291,-0.27831352,-0.06507229
1931,-0.1027192,-0.20842831,0.0029898968
1932,-0.14657362,-0.24584652,-0.047300734
1933,-0.27454016,-0.36981365,-0.17926666
1934,-0.12597696,-0.22159195,-0.03036198
1935,-0.16027308,-0.25216332,-0.068382815
1936,-0.123923056,-0.2189918,-0.028854307
1937,0.028830798,-0.0649625,0.12262409
1938,0.031224865,-0.06243445,0.12488418
1939,0.021229843,-0.07152218,0.113981865
1940,0.14733243,0.03696214,0.25770274
1941,0.032413784,-0.10875242,0.17357999
1942,-0.03329034,-0.18196075,0.11538006
1943,-0.03233389,-0.18246986,0.11780207
1944,0.09934332,-0.05289123,0.25157788
1945,-0.0020861544,-0.16289929,0.15872698
1946,-0.13615029,-0.26608813,-0.006212434
1947,-0.10671994,-0.23361143,0.020171544
1948,-0.14200106,-0.2615879,-0.022414226
1949,-0.16907945,-0.2776464,-0.060512535
1950,-0.25536856,-0.3553524,-0.15538473
1951,-0.08681272,-0.17948699,0.005861563
1952,-0.0027941826,-0.10632942,0.10074105
1953,0.06365901,-0.039362986,0.166681
1954,-0.13281564,-0.22465274,-0.040978547
1955,-0.2159018,-0.30861938,-0.123184234
1956,-0.28402755,-0.3632732,-0.20478188
1957,-0.05545748,-0.12575988,0.01484492
1958,-0.03678866,-0.103385754,0.029808426
1959,-0.064959824,-0.13199458,0.0020749266
1960,-0.13109654,-0.18887414,-0.073318936
1961,-0.02610745,-0.077495314,0.025280414
1962,-0.06966853,-0.12437079,-0.014966268
1963,-0.03857907,-0.09520671,0.018048568
1964,-0.30906746,-0.35898253,-0.25915238
1965,-0.20770656,-0.26263776,-0.15277535
1966,-0.14998478,-0.20282955,-0.097140014
1967,-0.123418994,-0.17030163,-0.076536365
1968,-0.16921437,-0.21601185,-0.12241688
1969,-0.032080047,-0.07330046,0.009140367
1970,-0.08938514,-0.12898321,-0.04978706
1971,-0.2074405,-0.2470894,-0.16779159
1972,-0.09244363,-0.12993966,-0.054947596
1973,0.05062328,0.012447,0.08879956
1974,-0.16836514,-0.20688157,-0.12984872
1975,-0.10482939,-0.14310311,-0.06655569
1976,-0.20895185,-0.25093064,-0.16697307
1977,0.10760773,0.06543814,0.14977734
1978,0.00787663,-0.031831402,0.04758466
1979,0.0920931,0.062542915,0.12164329
1980,0.19622652,0.16241203,0.230041
1981,0.25077626,0.21861742,0.28293508
1982,0.03440055,-0.006507999,0.0753091
1983,0.22413804,0.18666312,0.26161295
1984,0.049693715,0.014309526,0.085077904
1985,0.05167602,0.016757542,0.0865945
1986,0.09818943,0.06530083,0.13107803
1987,0.24456449,0.21299057,0.2761384
1988,0.28449553,0.248909,0.32008204
1989,0.18238924,0.14661452,0.21816398
1990,0.36289805,0.32721633,0.39857978
1991,0.3426552,0.30423483,0.38107562
1992,0.12908989,0.0944779,0.16370188
1993,0.17058347,0.130047,0.21111993
1994,0.23675424,0.19884436,0.2746641
1995,0.3803904,0.3460959,0.41468495
1996,0.28104782,0.24662057,0.31547508
1997,0.4252532,0.39136156,0.45914483
1998,0.58235013,0.5477712,0.61692905
1999,0.32813665,0.2937443,0.36252898
2000,0.33563605,0.30038938,0.37088272
2001,0.49354124,0.4585133,0.5285692
2002,0.54686576,0.5141333,0.57959825
2003,0.54854697,0.5141609,0.5829331
2004,0.47234517,0.44129467,0.5033957
2005,0.6115637,0.5785387,0.64458865
2006,0.57686806,0.54418826,0.60954785
2007,0.5959681,0.56310314,0.6288332
2008,0.46992654,0.43572366,0.5041294
2009,0.60021853,0.56727535,0.6331617
2010,0.684637,0.65255386,0.71672016
2011,0.5426543,0.5105071,0.5748015
2012,0.582116,0.5489411,0.615291
2013,0.6291624,0.59279704,0.66552764
2014,0.6786348,0.6444384,0.7128312
2015,0.82887685,0.7936329,0.86412084
2016,0.9358564,0.90329874,0.96841407
2017,0.8480803,0.8157442,0.88041633
2018,0.76447815,0.73155415,0.79740214
2019,0.8990079,0.8643712,0.9336447
2020,0.9274708,0.891126,0.9638156
2021,0.77800846,0.7427513,0.8132656
2022,0.8121808,0.7734278,0.85093385
2023,1.1194674,1.0804931,1.1584418
2024,1.1873926,1.1451353,1.2296499
2025,1.0733087,1.0323095,1.1143079
2026,1.0789526,0.9958451,1.1620599
