Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850-01,-0.7339555,-1.0368209,-0.43109012
1850-02,-0.35966069,-0.7176909,-0.0016304983
1850-03,-0.6258212,-0.9586515,-0.29299083
1850-04,-0.6055207,-0.8900566,-0.3209848
1850-05,-0.5324652,-0.77850044,-0.2864299
1850-06,-0.35326323,-0.6138008,-0.092725635
1850-07,-0.1759547,-0.41244277,0.060533363
1850-08,-0.2242144,-0.4761854,0.027756613
1850-09,-0.39437765,-0.6536749,-0.13508044
1850-10,-0.51748013,-0.76495945,-0.27000087
1850-11,-0.27623358,-0.5354351,-0.017032081
1850-12,-0.3223918,-0.6015572,-0.043226406
1851-01,-0.2662467,-0.56461364,0.03212019
1851-02,-0.46170628,-0.7832569,-0.14015572
1851-03,-0.6375847,-0.93181086,-0.34335852
1851-04,-0.5211568,-0.80001736,-0.24229617
1851-05,-0.21412657,-0.4780139,0.04976074
1851-06,-0.20212945,-0.47470045,0.070441544
1851-07,-0.13047644,-0.36784154,0.10688865
1851-08,-0.14578828,-0.40123767,0.10966108
1851-09,-0.13134697,-0.4000034,0.13730946
1851-10,-0.040283103,-0.30196047,0.22139427
1851-11,-0.10746946,-0.40689418,0.19195524
1851-12,-0.24352689,-0.5573211,0.070267305
1852-01,-0.344646,-0.64653337,-0.042758618
1852-02,-0.49557695,-0.8289766,-0.16217737
1852-03,-0.5666573,-0.8696013,-0.26371333
1852-04,-0.57470953,-0.8396008,-0.3098182
1852-05,-0.1127493,-0.3636069,0.1381083
1852-06,-0.07843405,-0.32818556,0.17131747
1852-07,0.0074678855,-0.22273609,0.23767187
1852-08,-0.15087757,-0.39552632,0.09377119
1852-09,-0.006795626,-0.2573918,0.24380055
1852-10,-0.1583601,-0.38526452,0.06854432
1852-11,-0.27547246,-0.5369528,-0.01399214
1852-12,0.06421194,-0.20957655,0.33800042
1853-01,-0.2063324,-0.4948275,0.08216272
1853-02,-0.40006432,-0.7028607,-0.097267926
1853-03,-0.27294704,-0.5631236,0.017229486
1853-04,-0.40274414,-0.6704585,-0.1350298
1853-05,-0.2719972,-0.50705475,-0.036939632
1853-06,-0.12755214,-0.37205988,0.11695564
1853-07,-0.0744116,-0.28529623,0.13647303
1853-08,-0.042077098,-0.27633238,0.19217819
1853-09,-0.26917428,-0.48977306,-0.048575513
1853-10,-0.3732116,-0.5896169,-0.1568063
1853-11,-0.40371957,-0.6660985,-0.14134063
1853-12,-0.32786742,-0.624094,-0.031640794
1854-01,-0.40735328,-0.6560245,-0.15868203
1854-02,-0.39499396,-0.6738029,-0.116185054
1854-03,-0.24743147,-0.5211814,0.026318446
1854-04,-0.3291602,-0.54846126,-0.10985917
1854-05,-0.27862322,-0.47975156,-0.07749492
1854-06,-0.30414546,-0.5323239,-0.07596699
1854-07,-0.16426678,-0.37073818,0.042204633
1854-08,-0.23451008,-0.442093,-0.026927141
1854-09,-0.21740225,-0.42590365,-0.008900825
1854-10,-0.101952225,-0.277482,0.07357756
1854-11,-0.4132786,-0.67884785,-0.14770938
1854-12,-0.4559868,-0.7269444,-0.18502922
1855-01,-0.17234398,-0.42636457,0.08167661
1855-02,-0.3170206,-0.5917129,-0.042328313
1855-03,-0.34672055,-0.6250185,-0.0684226
1855-04,-0.21156035,-0.4298999,0.0067791953
1855-05,-0.3698473,-0.5747273,-0.16496728
1855-06,-0.33630273,-0.5557739,-0.116831526
1855-07,-0.3188507,-0.51560915,-0.12209224
1855-08,-0.20532604,-0.41631776,0.005665683
1855-09,-0.25541094,-0.44267046,-0.068151414
1855-10,-0.2050734,-0.405455,-0.004691806
1855-11,-0.37870362,-0.6259552,-0.13145202
1855-12,-0.4125183,-0.668125,-0.15691161
1856-01,-0.086687244,-0.32049426,0.14711976
1856-02,-0.350309,-0.6123458,-0.08827218
1856-03,-0.37359685,-0.64112854,-0.10606518
1856-04,-0.31691852,-0.52218515,-0.1116519
1856-05,-0.2961719,-0.5019296,-0.09041423
1856-06,-0.22901437,-0.4508166,-0.0072121564
1856-07,-0.22823283,-0.4301621,-0.026303582
